gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT01/1304544,VCS,FTV Esports,Saigon Buffalo,Gangplank,LeeSin,Rumble,Aphelios,Pyke,Ornn,RekSai,Ryze,Senna,Braum,0
ESPORTSTMNT02/1295983,LFL,IZI Dream,Team MCES,Gangplank,LeeSin,Syndra,Caitlyn,Blitzcrank,Aatrox,JarvanIV,Rumble,Ezreal,Bard,0
6535-8788,LDL,JingNetGame,FunPlus Phoenix Blaze,MonkeyKing,Nidalee,Sett,Aphelios,Thresh,Malphite,Graves,Leblanc,Ashe,Nautilus,0
ESPORTSTMNT04/1140174,TCL,1907 Fenerbahçe Esports,Royal Youth,Akali,Elise,Pantheon,Aphelios,TahmKench,Rumble,JarvanIV,Zoe,Twitch,Leona,1
ESPORTSTMNT01/1434810,VCS,Team Flash,CERBERUS Esports,Kennen,Khazix,Galio,Aphelios,Bard,Karma,JarvanIV,Syndra,MissFortune,Thresh,1
ESPORTSTMNT05/1440751,LEC,Fnatic,G2 Esports,Sylas,LeeSin,Veigar,Aphelios,TahmKench,Ornn,JarvanIV,Azir,KogMaw,Lulu,0
ESPORTSTMNT03/1405033,CK,RunAway,ESC Shane,Aatrox,Ekko,Jayce,Ashe,Thresh,Karma,Trundle,Syndra,Kaisa,Sett,0
ESPORTSTMNT03/1353412,LCK,Team Dynamics,SANDBOX Gaming,Lucian,Trundle,Lissandra,Aphelios,Bard,Aatrox,Gragas,Leblanc,Kalista,Taric,1
ESPORTSTMNT03/1301287,CBLOL,Redemption eSports Porto Alegre,KaBuM! e-Sports,Ornn,RekSai,Orianna,Aphelios,Braum,Vladimir,LeeSin,Irelia,MissFortune,Leona,1
ESPORTSTMNT01/1292296,LCS.A,FlyQuest Academy,Dignitas Academy,Ornn,RekSai,Lissandra,Aphelios,Blitzcrank,Aatrox,LeeSin,Leblanc,Senna,Thresh,0
6480-8595,LDL,Invictus Gaming Young,eStar Young,MonkeyKing,Graves,Galio,Ezreal,Bard,Renekton,Kindred,Neeko,Ashe,Nautilus,0
ESPORTSTMNT03/1430952,LLA,Rainbow7,Azules Esports,Kennen,Graves,Syndra,Ashe,Nautilus,Aatrox,Volibear,Orianna,Jhin,Thresh,0
ESPORTSTMNT02/1323090,LCK,T1,Griffin,Jayce,Trundle,Azir,Kalista,Blitzcrank,Aatrox,Gragas,Leblanc,Senna,TahmKench,1
6141-7666,LDL,Victorious Gaming,Shu Dai Xiong Gaming,Mordekaiser,Graves,Lissandra,Kalista,Thresh,Aatrox,Trundle,Corki,Ezreal,Nautilus,1
6525-8755,LDL,EDG Youth Team,eStar Young,Aatrox,Olaf,Ekko,Caitlyn,Lux,MonkeyKing,Graves,Syndra,Ashe,Nautilus,1
ESPORTSTMNT04/1220836,LEC,Excel Esports,MAD Lions,Vladimir,Sett,Zoe,Varus,Karma,Hecarim,LeeSin,Orianna,Ezreal,Yuumi,0
ESPORTSTMNT06/1300373,LEC,Team Vitality,Origen,Ornn,Gragas,Orianna,Ezreal,Bard,Aatrox,Volibear,Azir,Kalista,Leona,1
ESPORTSTMNT04/1120150,LEC,Team Vitality,G2 Esports,Ornn,Gragas,Yasuo,Senna,Braum,Soraka,Elise,Lucian,Aphelios,Thresh,0
ESPORTSTMNT05/1400505,TRA,Dark Passage Academy,Beşiktaş Academy,Mordekaiser,LeeSin,Zoe,Aphelios,Morgana,Ornn,Gragas,Rumble,Xayah,Leona,0
ESPORTSTMNT06/1320068,LCL,One Breath Gaming,Unicorns Of Love.CIS,Gangplank,Volibear,Orianna,Ashe,Leona,Renekton,Hecarim,Akali,Senna,Nautilus,0
6564-8880,LDL,Team WE Academy,FunPlus Phoenix Blaze,Ornn,Volibear,Diana,Aphelios,Thresh,Renekton,Olaf,Leblanc,Kalista,Leona,1
6338-8096,LDL,Bilibili Gaming Junior,FunPlus Phoenix Blaze,Maokai,LeeSin,Orianna,Aphelios,Nautilus,Ornn,Nidalee,Jayce,Ezreal,Leona,0
ESPORTSTMNT01/1414864,LCK,T1,DRX,Camille,Sett,Azir,Kalista,Nautilus,Ornn,Graves,Ekko,Ezreal,Karma,1
6460-8523,LDL,Bilibili Gaming Junior,Invictus Gaming Young,Volibear,LeeSin,Zoe,Aphelios,Thresh,Renekton,Trundle,Rumble,Ezreal,Bard,0
ESPORTSTMNT05/1430690,LCS,Cloud9,Evil Geniuses,Aatrox,Nocturne,Syndra,Varus,TahmKench,Ornn,Gragas,Yasuo,MissFortune,Nautilus,1
6081-7586,LPL,Vici Gaming,Suning,Ornn,Trundle,Leblanc,Varus,TahmKench,MonkeyKing,Gragas,Galio,MissFortune,Taric,1
ESPORTSTMNT01/1405306,CK,Griffin,hyFresh Blade,Mordekaiser,Trundle,Zed,Azir,Karma,Aatrox,JarvanIV,TwistedFate,Aphelios,Yuumi,0
ESPORTSTMNT02/1394969,LJL,Fukuoka SoftBank Hawks gaming,Burning Core,MonkeyKing,Trundle,Galio,Aphelios,Thresh,Maokai,LeeSin,Sett,Ashe,Blitzcrank,1
ESPORTSTMNT01/1432108,CBLOL,Flamengo Esports,KaBuM! e-Sports,Ornn,Karthus,Karma,Aphelios,Sett,Renekton,Trundle,Syndra,Kaisa,Braum,1
ESPORTSTMNT04/1130548,TRA,5 Ronin Academy,Royal Youth Academy,Gangplank,Olaf,Azir,Senna,Thresh,Ornn,Elise,Viktor,Lucian,Braum,1
6462-8534,LDL,LGD Gaming Young Team,eStar Young,Gnar,LeeSin,Karma,Aphelios,Leona,Kennen,Ekko,Renekton,Senna,Nautilus,1
6089-7629,LPL,LNG Esports,Team WE,Mordekaiser,Trundle,Sylas,Varus,TahmKench,MonkeyKing,JarvanIV,Neeko,MissFortune,Leona,1
ESPORTSTMNT05/1520189,TCL,Royal Youth,Team AURORA,MonkeyKing,RekSai,Zoe,Ashe,Braum,Sett,LeeSin,Syndra,Aphelios,Karma,0
6718-9000,LDL,Invictus Gaming Young,Shu Dai Xiong Gaming,Renekton,Lillia,Jayce,Jhin,Pantheon,Jax,Graves,Corki,Ashe,Nautilus,1
ESPORTSTMNT01/1415429,LJL,Crest Gaming Act,V3 Esports,Aatrox,Olaf,Zoe,Ezreal,Yuumi,Ornn,LeeSin,Karma,Aphelios,Thresh,0
ESPORTSTMNT04/1250217,TCL,Galakticos,İstanbul Wildcats,Volibear,Nidalee,Corki,Ashe,Lulu,Malphite,JarvanIV,Orianna,Senna,TahmKench,0
ESPORTSTMNT02/1405195,LCK,Hanwha Life Esports,DRX,Jayce,Volibear,Sylas,Ashe,Janna,Akali,Lillia,Sett,Caitlyn,Bard,0
ESPORTSTMNT06/1310264,EM,Intrepid Fox Gaming,7more7 Pompa Team,Malphite,Graves,Azir,Caitlyn,Lux,Shen,LeeSin,Syndra,Ezreal,Karma,1
ESPORTSTMNT01/1405122,CK,Awesome Spear,Jin Air Green Wings,Mordekaiser,Trundle,TwistedFate,Kalista,Thresh,Aatrox,Nidalee,Zoe,Aphelios,Alistar,0
ESPORTSTMNT02/1385882,LCK,DAMWON Gaming,T1,Sylas,LeeSin,Syndra,Varus,Thresh,Kennen,Trundle,Leblanc,Ezreal,Braum,1
ESPORTSTMNT03/1342244,PCS,Machi Esports,Talon Esports,Aatrox,RekSai,Syndra,Kalista,Taric,Mordekaiser,Sett,Corki,MissFortune,Bard,1
5974-7354,LPL,Vici Gaming,JD Gaming,Aatrox,JarvanIV,Rumble,Aphelios,Rakan,Ornn,RekSai,Zoe,MissFortune,Leona,1
ESPORTSTMNT03/1432207,LJL,DetonatioN FocusMe,Crest Gaming Act,Kennen,Kindred,Neeko,Caitlyn,Lux,Sett,Trundle,Zoe,Jhin,Blitzcrank,0
ESPORTSTMNT03/1415383,CK,OZ Gaming,hyFresh Blade,Kennen,Volibear,Orianna,Sivir,Leona,Sylas,Olaf,Zoe,Ezreal,Bard,0
ESPORTSTMNT01/1370789,LJL,Sengoku Gaming,DetonatioN FocusMe,Aatrox,JarvanIV,Azir,MissFortune,Thresh,Ornn,Pantheon,Ziggs,Senna,TahmKench,0
ESPORTSTMNT02/1322993,OPL,Gravitas,Legacy Esports,Sett,Ekko,Kassadin,Kalista,Taric,Gnar,Trundle,Syndra,Aphelios,Bard,0
6473-8576,LDL,JingNetGame,Oh My Dream,Karma,Volibear,Akali,Aphelios,Bard,Jayce,Elise,MonkeyKing,Qiyana,Senna,1
ESPORTSTMNT06/1320490,TCL,Galakticos,Papara SuperMassive,Lucian,Skarner,Kassadin,Senna,Nautilus,MonkeyKing,Nidalee,Zoe,Aphelios,Sett,0
ESPORTSTMNT02/1324352,LCK,SeolHaeOne Prince,Gen.G,Aatrox,Karthus,Irelia,Kalista,Taric,Akali,JarvanIV,Zoe,MissFortune,Braum,0
ESPORTSTMNT03/1442214,LCS,Golden Guardians,Team SoloMid,Shen,Volibear,Ekko,Caitlyn,Lux,Vladimir,Graves,Syndra,Ashe,Karma,1
ESPORTSTMNT03/1342413,PCS,ahq eSports Club,Alpha Esports,Mordekaiser,Olaf,Zoe,MissFortune,Leona,Aatrox,Ekko,Corki,Varus,Nautilus,1
ESPORTSTMNT01/1403902,LJL,Sengoku Gaming,DetonatioN FocusMe,Aatrox,Graves,Zoe,Ezreal,Nautilus,MonkeyKing,Pantheon,Xerath,Senna,Maokai,1
6099-7582,LDL,Victorious Gaming,Joy Dream,Aatrox,MonkeyKing,Neeko,Varus,TahmKench,Renekton,RekSai,Syndra,Senna,Maokai,1
ESPORTSTMNT03/1405504,LCK,Team Dynamics,DAMWON Gaming,Kennen,Graves,Zoe,Ashe,Leona,Jayce,Trundle,Orianna,Senna,MonkeyKing,0
6455-8508,LDL,Rogue Warriors Shark,Vici Gaming Potential,MonkeyKing,Trundle,Sylas,Kalista,Thresh,Aatrox,Elise,TwistedFate,Draven,Sett,0
ESPORTSTMNT02/1404681,LFL,Team MCES,IZI Dream,Shen,Sett,Fizz,Caitlyn,Thresh,Mordekaiser,Trundle,Syndra,Ashe,TahmKench,1
ESPORTSTMNT01/1315131,CK,Asura,Team Dynamics,Renekton,Elise,Lucian,MissFortune,Braum,Aatrox,Sejuani,Azir,Varus,Taric,0
ESPORTSTMNT03/1432891,LCS.A,Cloud9 Academy,TSM Academy,Gangplank,Evelynn,Lucian,Ashe,Leona,Jayce,Skarner,Akali,Senna,Nautilus,1
6128-7761,LPL,Invictus Gaming,Top Esports,Jayce,Trundle,Orianna,Senna,TahmKench,Renekton,LeeSin,Syndra,Aphelios,Karma,0
ESPORTSTMNT01/1301128,OPL,ORDER,Legacy Esports,Aatrox,Olaf,Orianna,Xayah,Rakan,Ornn,LeeSin,Leblanc,Senna,Nautilus,0
ESPORTSTMNT02/1271447,VCS,Team Flash,EVOS Esports,Fiora,LeeSin,Ryze,Kaisa,Nautilus,Vladimir,JarvanIV,Cassiopeia,Xayah,Rakan,0
6683-8852,LPL,Invictus Gaming,LGD Gaming,Lucian,LeeSin,Azir,Kalista,Taric,MonkeyKing,Nidalee,TwistedFate,Ezreal,Leona,0
ESPORTSTMNT03/1401728,PCS,Nova Esports,Liyab Esports,Kalista,Ekko,Sett,Syndra,Nautilus,Urgot,Olaf,Karma,Ezreal,Braum,1
ESPORTSTMNT06/1160600,LEC,Origen,G2 Esports,Gangplank,Zac,Orianna,Aphelios,Nautilus,Sett,LeeSin,Ekko,Ezreal,Braum,0
ESPORTSTMNT02/1333617,LLA,Azules Esports,Rainbow7,Sett,JarvanIV,Zoe,Varus,TahmKench,Renekton,LeeSin,Kassadin,MissFortune,Nautilus,0
ESPORTSTMNT06/1320895,LEC,Rogue,G2 Esports,Aatrox,Lillia,Akali,Draven,Nautilus,Shen,Hecarim,Syndra,Senna,Thresh,0
ESPORTSTMNT02/1403221,OCS,Pentanet.GG Rise,QUT Tigers,Sion,Graves,Cassiopeia,Ashe,Leona,Hecarim,Karthus,Galio,Senna,Shen,0
ESPORTSTMNT01/1313662,LCS.A,Evil Geniuses Academy,Dignitas Academy,Sett,LeeSin,Zoe,Aphelios,TahmKench,Neeko,Olaf,Cassiopeia,Senna,Morgana,1
ESPORTSTMNT01/1413609,OPL,Legacy Esports,Gravitas,Mordekaiser,Graves,Ornn,Ashe,Yuumi,Sett,LeeSin,Ekko,Ezreal,Senna,1
6303-7974,LDL,Dominus Esports Young,Invictus Gaming Young,Malphite,Graves,Galio,Ezreal,Karma,MonkeyKing,Kindred,Leblanc,Aphelios,Nautilus,0
ESPORTSTMNT02/1381603,LCS.A,FlyQuest Academy,Dignitas Academy,Sett,RekSai,Azir,Senna,Nautilus,Volibear,Trundle,Corki,MissFortune,Karma,0
ESPORTSTMNT01/1436351,LCK,SANDBOX Gaming,Team Dynamics,Jayce,Olaf,Corki,Aphelios,TahmKench,Akali,Trundle,Azir,Ashe,Pantheon,1
ESPORTSTMNT02/1296017,LFL,Misfits Premier,Vitality.Bee,Gangplank,Sejuani,Velkoz,Ezreal,Yuumi,Sett,Zac,Ziggs,MissFortune,Karma,1
6369-8208,LDL,Young Miracles,Vici Gaming Potential,Mordekaiser,Trundle,Galio,Aphelios,Braum,MonkeyKing,JarvanIV,Kassadin,Kalista,Nautilus,1
ESPORTSTMNT02/1323497,OPL,Chiefs Esports Club,Legacy Esports,Irelia,Sejuani,Karma,MissFortune,Braum,Renekton,LeeSin,Ornn,Syndra,Bard,0
ESPORTSTMNT05/1540143,LEC,MAD Lions,Team Vitality,Gangplank,Trundle,Orianna,Ezreal,Nautilus,Sett,LeeSin,Leblanc,Caitlyn,Thresh,0
6288-7916,LDL,optical spectrum E-sports,JingNetGame,Kled,Trundle,Lissandra,Varus,TahmKench,Gangplank,LeeSin,Sylas,Ezreal,Thresh,1
ESPORTSTMNT01/1424270,OPL,ORDER,Gravitas,Chogath,Sejuani,Zoe,Kalista,Nautilus,Sion,Sylas,Zed,Aphelios,Bard,1
6344-8122,LDL,All Combo,Royal Club,MonkeyKing,Olaf,Kassadin,Xayah,Nautilus,Renekton,JarvanIV,Fiddlesticks,Kaisa,Sett,1
ESPORTSTMNT03/1391900,Riot,Talon Esports,GAM Esports,MonkeyKing,Nidalee,Zoe,Aphelios,Nautilus,Mordekaiser,Graves,Jayce,Senna,Maokai,1
ESPORTSTMNT03/1341982,OPL,ORDER,Dire Wolves,Rumble,LeeSin,Sett,Senna,TahmKench,Renekton,JarvanIV,Orianna,MissFortune,Nautilus,0
ESPORTSTMNT03/1443050,LFL,GamersOrigin,Misfits Premier,Maokai,Skarner,Orianna,Kalista,Sett,Shen,Hecarim,Leblanc,Ashe,Trundle,1
6170-7773,LDL,All Combo,EDG Youth Team,Aatrox,Olaf,Leblanc,Varus,Leona,Camille,Gragas,Yasuo,Aphelios,Nautilus,0
6067-7549,LPL,JD Gaming,Invictus Gaming,Ornn,RekSai,Azir,Kalista,Bard,Sett,Trundle,Zilean,Aphelios,Braum,1
6126-7738,LPL,Team WE,Top Esports,Camille,Trundle,Galio,Aphelios,Braum,Renekton,LeeSin,Corki,Varus,Thresh,0
ESPORTSTMNT02/1403147,CK,hyFresh Blade,OZ Gaming,Sylas,Volibear,Zoe,Ezreal,Braum,Ornn,Trundle,Orianna,Aphelios,Morgana,0
6251-8150,LPL,Royal Never Give Up,Team WE,Renekton,Nidalee,Syndra,Senna,Pantheon,Ornn,Graves,Rumble,Ezreal,Karma,1
ESPORTSTMNT02/1381935,VCS,Team Secret,CERBERUS Esports,Ornn,JarvanIV,Azir,Ezreal,Leona,Fiddlesticks,Trundle,TwistedFate,Aphelios,Thresh,0
ESPORTSTMNT03/1432333,CK,OZ Gaming,RunAway,Aatrox,Nidalee,Akali,Jhin,Pantheon,Ornn,Lillia,Lucian,Ezreal,Alistar,1
6074-7565,LPL,Suning,Dominus Esports,Ornn,Sett,Corki,MissFortune,Thresh,MonkeyKing,RekSai,Azir,Varus,Nautilus,0
6493-8647,LDL,Invictus Gaming Young,optical spectrum E-sports,Volibear,Graves,Leblanc,Aphelios,Thresh,Kled,RekSai,Vladimir,Ashe,Sett,1
ESPORTSTMNT02/1405321,VCS,GAM Esports,CERBERUS Esports,Renekton,LeeSin,Rumble,Ashe,Thresh,MonkeyKing,Sett,Orianna,Caitlyn,Bard,0
ESPORTSTMNT02/1287022,LCK,Afreeca Freecs,DAMWON Gaming,Kayle,JarvanIV,Ornn,Kalista,Nautilus,Quinn,Sejuani,Syndra,Sett,Yuumi,1
ESPORTSTMNT02/1392471,CK,Element Mystic,OZ Gaming,Aatrox,Graves,TwistedFate,Ezreal,Nautilus,Kennen,Olaf,Azir,Kalista,Thresh,0
6165-7754,LDL,Gama Dream,Team WE Academy,Aatrox,Kindred,Galio,Aphelios,Braum,MonkeyKing,Trundle,Cassiopeia,MissFortune,Taric,0
ESPORTSTMNT03/1334863,PCS,ahq eSports Club,Resurgence,Ornn,LeeSin,Syndra,Varus,Thresh,Gangplank,Trundle,Ekko,MissFortune,Braum,1
ESPORTSTMNT01/1436575,LCK,Hanwha Life Esports,DAMWON Gaming,Renekton,LeeSin,Galio,Aphelios,Braum,Jayce,RekSai,Sylas,Ashe,Pantheon,0
6227-7970,LPL,JD Gaming,Royal Never Give Up,Mordekaiser,Graves,TwistedFate,Aphelios,Thresh,Ornn,Trundle,Orianna,Ashe,Sett,1
ESPORTSTMNT02/1281307,LCS,Counter Logic Gaming,Golden Guardians,Aatrox,Trundle,Neeko,Ezreal,Yuumi,Sett,Sejuani,Cassiopeia,Kaisa,Nautilus,0
6448-8489,LDL,LGD Gaming Young Team,Suning-S,Camille,LeeSin,Karma,Ashe,Nautilus,Aatrox,Nidalee,Talon,Aphelios,Thresh,0
ESPORTSTMNT06/1270325,LEC,Fnatic,FC Schalke 04 Esports,Urgot,RekSai,Syndra,Kaisa,Nautilus,MonkeyKing,LeeSin,Galio,Ezreal,Leona,0
6627-8536,LPL,FunPlus Phoenix,EDward Gaming,Gangplank,Graves,TwistedFate,Senna,Leona,Renekton,LeeSin,Sylas,Ashe,Braum,1
ESPORTSTMNT05/1430436,TCL,1907 Fenerbahçe Esports,Papara SuperMassive,Gangplank,Gragas,Corki,Aphelios,Thresh,Neeko,JarvanIV,Azir,Varus,TahmKench,1
ESPORTSTMNT03/1441781,OPL,Pentanet.GG,Chiefs Esports Club,Renekton,Evelynn,Azir,Aphelios,Nautilus,Lillia,Graves,Akali,Ashe,Sett,0
ESPORTSTMNT03/1404776,PCS,Alpha Esports,Liyab Esports,Ornn,Ekko,Zoe,Ezreal,Braum,Camille,Trundle,TwistedFate,Ashe,Thresh,1
ESPORTSTMNT05/1410698,TRA,Galakticos Academy,SuperMassive Academy,Rumble,RekSai,Vladimir,Varus,Braum,Irelia,Elise,Cassiopeia,Aphelios,Nautilus,0
ESPORTSTMNT05/1430695,LCS,Evil Geniuses,Cloud9,Poppy,Gragas,Zoe,Aphelios,Braum,Aatrox,Pantheon,Taliyah,Varus,TahmKench,1
6651-8697,LPL,Top Esports,eStar,Renekton,Nidalee,Azir,Ashe,Nautilus,Ornn,Ekko,Sett,Ezreal,Lux,1
ESPORTSTMNT04/1120705,LEC,FC Schalke 04 Esports,SK Gaming,Aatrox,RekSai,Rumble,MissFortune,Thresh,Ornn,LeeSin,Mordekaiser,Senna,Nautilus,0
6497-8654,LDL,Oh My Dream,Bilibili Gaming Junior,Lucian,Nidalee,Kled,Aphelios,Karma,Renekton,Karthus,Qiyana,Ashe,Nautilus,0
ESPORTSTMNT03/1401715,OPL,Dire Wolves,MAMMOTH,MonkeyKing,LeeSin,Syndra,Varus,Nautilus,Karma,Nidalee,Lucian,Taliyah,Pantheon,1
ESPORTSTMNT02/1415157,LFL,Misfits Premier,LDLC OL,Malphite,LeeSin,Azir,Kalista,Rakan,Renekton,Elise,Ezreal,Aphelios,Nautilus,1
ESPORTSTMNT01/1415535,LCK,T1,Hanwha Life Esports,Ornn,Sett,Karma,Xayah,Rakan,Kayle,Graves,Galio,Ashe,TahmKench,1
5953-7306,LPL,FunPlus Phoenix,JD Gaming,Aatrox,LeeSin,Rumble,MissFortune,Rakan,Ornn,Kindred,Karma,Aphelios,Braum,1
ESPORTSTMNT02/1415044,LFL,Misfits Premier,Vitality.Bee,Camille,Khazix,Galio,Caitlyn,Lux,Riven,Volibear,Syndra,Ezreal,Nautilus,1
6413-8365,LDL,Legend Esport Gaming,FunPlus Phoenix Blaze,Kennen,Graves,Renekton,Ezreal,Nautilus,Volibear,LeeSin,Leblanc,Aphelios,Leona,1
ESPORTSTMNT02/1404080,LCS,100 Thieves,Dignitas,Ornn,Graves,Zoe,Caitlyn,Bard,Camille,Nidalee,Sett,Ezreal,Karma,0
ESPORTSTMNT05/1440595,LCS,100 Thieves,Team SoloMid,Ornn,JarvanIV,Orianna,MissFortune,Nautilus,Aatrox,Gragas,Corki,Varus,TahmKench,1
ESPORTSTMNT01/1432055,CBLOL,INTZ,Vivo Keyd,Renekton,Nocturne,Ryze,KogMaw,Thresh,Gangplank,Trundle,Leblanc,Ezreal,Nautilus,0
ESPORTSTMNT04/1230782,LEC,Rogue,Misfits Gaming,Gangplank,RekSai,Orianna,Aphelios,Thresh,Vladimir,JarvanIV,Azir,Ezreal,Karma,1
ESPORTSTMNT03/1443048,LFL,Team MCES,Solary,Sett,Elise,Qiyana,Karthus,Nautilus,Shen,Nidalee,Cassiopeia,Ashe,Thresh,0
6476-8585,LDL,All Combo,Vici Gaming Potential,MonkeyKing,Volibear,Leblanc,Jhin,Bard,Camille,Graves,TwistedFate,Ashe,Leona,1
ESPORTSTMNT01/1326036,CK,Element Mystic,Spear Gaming,Pantheon,Gragas,Qiyana,Ezreal,Thresh,Renekton,Sylas,Azir,MissFortune,Nautilus,1
ESPORTSTMNT01/1434754,LJL,Rascal Jester,Burning Core,Jayce,Volibear,Lulu,Aphelios,Nautilus,Camille,Khazix,Leblanc,Ashe,Bard,0
6305-7976,LDL,V5 87,Young Miracles,Renekton,Kindred,Leblanc,Syndra,Alistar,MonkeyKing,Graves,Ekko,Kalista,Leona,0
ESPORTSTMNT02/1294331,VCS,GAM Esports,FTV Esports,Ornn,LeeSin,Cassiopeia,Aphelios,Rakan,Singed,Shyvana,Syndra,Lucian,Leona,1
6600-8338,LPL,LGD Gaming,Oh My God,Renekton,Nidalee,TwistedFate,Jhin,Bard,MonkeyKing,LeeSin,Galio,Ashe,Pantheon,1
6283-7900,LDL,Suning-S,FunPlus Phoenix Blaze,Aatrox,Trundle,Leblanc,Kalista,Nautilus,Renekton,Graves,Syndra,MissFortune,TahmKench,0
ESPORTSTMNT06/1300347,LCL,CrowCrowd,Dragon Army,Volibear,Graves,Ryze,Senna,MonkeyKing,Ornn,Trundle,Azir,Varus,Lulu,1
6235-8032,LPL,Royal Never Give Up,eStar,Mordekaiser,Graves,Zoe,Kalista,Nautilus,MonkeyKing,LeeSin,Rumble,Aphelios,Thresh,0
ESPORTSTMNT05/1520505,TRA,5 Ronin Academy,Dark Passage Academy,Kennen,LeeSin,Orianna,Varus,TahmKench,Renekton,Trundle,Zoe,Kalista,Thresh,0
6045-7470,LPL,Rogue Warriors,Bilibili Gaming,Sett,RekSai,Corki,Senna,TahmKench,Poppy,JarvanIV,Azir,MissFortune,Yuumi,1
ESPORTSTMNT03/1431585,CK,hyFresh Blade,Griffin,Renekton,Graves,Galio,Jhin,Nautilus,Quinn,Kayn,TwistedFate,Caitlyn,Morgana,0
ESPORTSTMNT02/1270462,LCS.A,Cloud9 Academy,Team Liquid Academy,Ornn,RekSai,Rumble,Varus,Thresh,Mordekaiser,JarvanIV,Cassiopeia,Aphelios,Leona,1
6104-7597,LDL,Triumphant Song Gaming,Invictus Gaming Young,Renekton,Nidalee,Nocturne,Kaisa,Taric,Ornn,Graves,Leblanc,Aphelios,Bard,0
ESPORTSTMNT02/1331769,LCS,Dignitas,Immortals,Aatrox,Pantheon,Orianna,Aphelios,Nautilus,Sett,Sejuani,Zoe,MissFortune,Leona,1
ESPORTSTMNT03/1443553,LCS,Team Liquid,Team SoloMid,Gangplank,Graves,Orianna,Jhin,Thresh,Irelia,Shen,Zilean,Ashe,Braum,0
ESPORTSTMNT01/1424591,OPL,Legacy Esports,ORDER,Aatrox,Nidalee,Orianna,Kalista,Taric,Ornn,Olaf,Zoe,Ashe,Rakan,1
ESPORTSTMNT01/1421238,OCS,ORDER Academy,Mammoth Academy,Jax,Graves,Orianna,Kaisa,Galio,Camille,Trundle,Rumble,Kalista,Nautilus,0
ESPORTSTMNT03/1415826,LCK,DRX,Team Dynamics,Karma,Volibear,Azir,Ashe,Braum,Aatrox,Trundle,Corki,Aphelios,Sett,1
6680-8807,LPL,FunPlus Phoenix,Victory Five,Gangplank,Sett,Karma,Kalista,Nautilus,Lucian,Olaf,Syndra,Caitlyn,Lux,0
6483-8611,LDL,LinGan e-Sports,Team WE Academy,Mordekaiser,Trundle,Zoe,Aphelios,Braum,Gangplank,Volibear,TwistedFate,Ashe,Bard,0
ESPORTSTMNT06/1210015,EM,AGO ROGUE,Vodafone Giants.Spain,Akali,Poppy,Syndra,Aphelios,Braum,Chogath,JarvanIV,Corki,Kalista,Taric,1
ESPORTSTMNT03/1335641,BRCC,Team oNe eSports,Santos e-Sports,Gangplank,Taliyah,Sett,Senna,Volibear,Aatrox,Gragas,Viktor,Varus,TahmKench,0
ESPORTSTMNT03/1441961,OPL,ORDER,Chiefs Esports Club,Maokai,Kindred,Orianna,Ezreal,Bard,Kayle,Trundle,Leblanc,Lucian,Yuumi,0
6596-8301,LPL,Bilibili Gaming,Oh My God,MonkeyKing,Volibear,Syndra,Ashe,Braum,Malphite,Trundle,Ekko,Aphelios,Bard,0
ESPORTSTMNT03/1352419,PCS,Hong Kong Attitude,Berjaya Dragons,Akali,JarvanIV,Lucian,Senna,Maokai,Ornn,Trundle,Syndra,Varus,TahmKench,1
ESPORTSTMNT02/1294462,LCS,100 Thieves,Team SoloMid,Aatrox,Gragas,Leblanc,MissFortune,Nautilus,Kennen,LeeSin,Syndra,Xayah,Rakan,0
5662-7264,LPL,Rogue Warriors,Suning,Aatrox,Gragas,Ryze,MissFortune,Leona,Mordekaiser,LeeSin,Zoe,Senna,TahmKench,1
ESPORTSTMNT02/1333626,LLA,Pixel Esports Club,Infinity Esports,Ornn,Gragas,Syndra,Ezreal,Taric,Sylas,Trundle,Azir,MissFortune,Nautilus,0
ESPORTSTMNT03/1353507,LCK,Griffin,SANDBOX Gaming,Ornn,Trundle,Azir,MissFortune,Braum,Sylas,LeeSin,Akali,Aphelios,TahmKench,0
ESPORTSTMNT01/1405367,CK,ESC Shane,OZ Gaming,Sett,JarvanIV,Orianna,Sivir,Karma,Ornn,Graves,Azir,Ezreal,Yuumi,1
6447-8483,LDL,Legend Esport Gaming,JingNetGame,Kennen,Sylas,Pantheon,Aphelios,Leona,MonkeyKing,Volibear,Leblanc,Ashe,Bard,0
ESPORTSTMNT03/1350628,OPL,ORDER,Avant Gaming,Ornn,LeeSin,Leblanc,Senna,Maokai,Mordekaiser,JarvanIV,Diana,Aphelios,Thresh,1
6489-8633,LDL,Royal Club,V5 87,Mordekaiser,Kindred,Orianna,Senna,Sett,Sylas,Nidalee,Renekton,Ashe,Karma,1
ESPORTSTMNT03/1340573,PCS,Berjaya Dragons,Alpha Esports,Sett,Gragas,Jayce,Jinx,TahmKench,Mordekaiser,RekSai,Corki,Varus,Nautilus,1
ESPORTSTMNT01/1306606,CK,hyFresh Blade,Team Dynamics,Aatrox,Elise,Orianna,MissFortune,Nautilus,Mordekaiser,Olaf,Lissandra,Xayah,Rakan,0
ESPORTSTMNT01/1436451,LJL,DetonatioN FocusMe,Rascal Jester,Camille,Sett,Galio,Ashe,Leona,Kennen,Volibear,Renekton,Caitlyn,Nautilus,1
